latitude,longitude,marches
48.8,7.5,274
49.3,1.2,273
48.6,-1.7,272
48.1,2.1,272
42.8,1.8,271
43.6,5.0,271
46.5,3.4,270
46.0,4.0,270
50.3,1.7,268
47.4,5.0,267
42.5,3.1,266
50.6,2.7,264
45.5,-1.1,263
49.6,3.7,263
48.3,-4.4,262
47.6,-1.8,261
47.2,5.2,260
46.2,0.3,259
48.8,0.9,258
47.4,6.4,258
43.3,2.0,258
47.9,1.8,257
48.0,-2.1,257
50.7,2.6,257
43.6,3.5,256
42.6,2.4,255
48.3,-0.0,254
48.3,-0.9,253
46.7,-2.3,252
47.2,5.1,252
48.3,-2.5,252
44.3,3.6,252
49.1,0.6,251
46.0,5.3,251
48.6,2.2,251
44.2,5.1,250
48.0,-0.1,249
43.6,3.2,248
46.0,1.4,248
48.5,-1.8,247
43.7,5.3,247
48.3,5.7,247
49.3,1.6,247
48.4,-4.3,247
48.2,2.2,247
47.3,-1.7,246
48.9,1.9,245
48.6,-0.4,244
45.9,-1.3,244
46.0,4.3,243
50.4,3.3,243
46.0,6.2,243
49.5,-1.6,243
44.4,5.0,242
42.7,2.6,241
48.7,2.0,241
50.0,2.6,240
49.6,2.3,240
43.6,1.2,240
43.5,-0.8,240
43.4,5.4,239
49.5,2.9,239
48.7,7.0,238
46.5,4.0,238
46.1,4.8,238
49.0,3.1,238
43.7,2.7,238
47.9,5.3,238
48.1,-4.3,237
46.6,-1.6,237
47.6,1.6,237
49.1,2.5,237
44.6,-0.9,236
46.2,1.5,236
45.7,0.1,235
50.4,2.3,235
48.0,0.4,235
43.2,3.1,235
48.5,3.5,235
44.1,1.5,235
46.1,6.7,235
47.6,4.3,235
49.9,2.8,234
46.5,-0.4,233
48.2,-1.8,233
44.0,5.8,233
43.5,7.0,233
45.0,3.1,233
45.1,2.9,232
48.0,1.2,231
49.7,1.9,231
50.4,1.6,231
43.4,5.7,231
46.9,-0.6,230
44.8,-0.8,229
44.7,-1.0,229
49.1,-1.0,229
44.9,3.9,228
44.0,1.2,228
46.1,4.1,228
45.5,4.3,228
47.2,3.0,227
47.8,7.0,227
47.4,1.7,226
48.0,7.3,225
42.9,3.0,225
45.9,1.2,225
48.6,7.5,225
49.6,3.0,224
45.6,4.3,223
47.7,-3.2,223
47.0,3.8,222
48.7,7.1,222
47.7,-2.4,221
45.0,6.5,221
47.5,0.6,221
50.7,2.2,220
50.7,3.0,220
48.8,-0.7,218
43.6,6.0,218
49.6,1.0,218
50.7,2.8,218
45.8,5.1,217
